date,x,y,vx,vy
28-04-2023,-1.200226223408043E+08,-9.092895175323170E+07,1.751297788868228E+01,-2.385117880563038E+01
29-04-2023,-1.184922402582377E+08,-9.297632260603447E+07,1.791156184170698E+01,-2.354062028370238E+01
30-04-2023,-1.169276728769125E+08,-9.499659280691917E+07,1.830429815521950E+01,-2.322387655194493E+01
01-05-2023,-1.153294268395961E+08,-9.698923507961325E+07,1.869115640734410E+01,-2.290111205194660E+01
02-05-2023,-1.136980108001592E+08,-9.895373619769032E+07,1.907212118829518E+01,-2.257248716007140E+01
03-05-2023,-1.120339339468184E+08,-1.008895964789639E+08,1.944719611829313E+01,-2.223815405303363E+01
04-05-2023,-1.103377042413051E+08,-1.027963287787486E+08,1.981640609184720E+01,-2.189824928845163E+01
05-05-2023,-1.086098266108795E+08,-1.046734567246414E+08,2.017979580156232E+01,-2.155288389356078E+01
06-05-2023,-1.068508014911624E+08,-1.065205120548826E+08,2.053742288661516E+01,-2.120213296630244E+01
07-05-2023,-1.050611242162781E+08,-1.083370311467474E+08,2.088934524409285E+01,-2.084602790283789E+01
08-05-2023,-1.032412857096120E+08,-1.101225511096868E+08,2.123560405698906E+01,-2.048455459598370E+01
09-05-2023,-1.013917747023090E+08,-1.118766060636403E+08,2.157620612150070E+01,-2.011765968417136E+01
10-05-2023,-9.951308134916146E+07,-1.135987242994294E+08,2.191110987340851E+01,-1.974526441362821E+01
11-05-2023,-9.760570176500608E+07,-1.152884268658752E+08,2.224021842401508E+01,-1.936728315931671E+01
12-05-2023,-9.567014281860411E+07,-1.169452278118598E+08,2.256338049362316E+01,-1.898364254850041E+01
13-05-2023,-9.370692654937191E+07,-1.185686359813732E+08,2.288039784544528E+01,-1.859429786678803E+01
14-05-2023,-9.171659374661423E+07,-1.201581580450234E+08,2.319103684043677E+01,-1.819924515388973E+01
15-05-2023,-8.969970642818227E+07,-1.217133023819342E+08,2.349504209477804E+01,-1.779852883794592E+01
16-05-2023,-8.765684909270172E+07,-1.232335834402687E+08,2.379215107739809E+01,-1.739224522134050E+01
17-05-2023,-8.558862869572912E+07,-1.247185262220895E+08,2.408210892750694E+01,-1.698054183972724E+01
18-05-2023,-8.349567337005325E+07,-1.261676705245587E+08,2.436468248855015E+01,-1.656361242054711E+01
19-05-2023,-8.137863002377838E+07,-1.275805745545857E+08,2.463967194134723E+01,-1.614168749916742E+01
20-05-2023,-7.923816110406862E+07,-1.289568175787699E+08,2.490691820554370E+01,-1.571502174742335E+01
21-05-2023,-7.707494095082913E+07,-1.302960014107060E+08,2.516630493440074E+01,-1.528388015373133E+01
22-05-2023,-7.488965221079321E+07,-1.315977507480138E+08,2.541775527506095E+01,-1.484852562957645E+01
23-05-2023,-7.268298270640098E+07,-1.328617125776237E+08,2.566122492023913E+01,-1.440921008777052E+01
24-05-2023,-7.045562298531412E+07,-1.340875549957892E+08,2.589669368700649E+01,-1.396616984808551E+01
25-05-2023,-6.820826458293757E+07,-1.352749658081670E+08,2.612415774073534E+01,-1.351962499380797E+01
26-05-2023,-6.594159887373687E+07,-1.364236512040391E+08,2.634362391562202E+01,-1.306978149642683E+01
27-05-2023,-6.365631629634043E+07,-1.375333346810528E+08,2.655510679196944E+01,-1.261683464511115E+01
28-05-2023,-6.135310570937106E+07,-1.386037562718385E+08,2.675862855625698E+01,-1.216097238785778E+01
29-05-2023,-5.903265365237664E+07,-1.396346720113092E+08,2.695422124273805E+01,-1.170237737466776E+01
30-05-2023,-5.669564333550033E+07,-1.406258534860084E+08,2.714193061803686E+01,-1.124122664874239E+01
31-05-2023,-5.434275326220307E+07,-1.415770872218568E+08,2.732182055444650E+01,-1.077768808197524E+01
01-06-2023,-5.197465551343694E+07,-1.424881736007767E+08,2.749397614498433E+01,-1.031191298889405E+01
02-06-2023,-4.959201390161314E+07,-1.433589249790908E+08,2.765850315797896E+01,-9.844025186868601E+00
03-06-2023,-4.719548242657616E+07,-1.441891627658209E+08,2.781552117839581E+01,-9.374108330642546E+00
04-06-2023,-4.478570466597502E+07,-1.449787134646634E+08,2.796514872140941E+01,-8.902195399187459E+00
05-06-2023,-4.236331477607736E+07,-1.457274040912943E+08,2.810748132226073E+01,-8.428265661109796E+00
06-06-2023,-3.992894052552823E+07,-1.464350578234401E+08,2.824256752387108E+01,-7.952253601745124E+00
07-06-2023,-3.748320821792722E+07,-1.471014909764037E+08,2.837039052975428E+01,-7.474070292198356E+00
08-06-2023,-3.502674869308885E+07,-1.477265121973279E+08,2.849086241576789E+01,-6.993632122033776E+00
09-06-2023,-3.256020319164089E+07,-1.483099241541055E+08,2.860383288414621E+01,-6.510888329227760E+00
10-06-2023,-3.008422795964950E+07,-1.488515272683506E+08,2.870910863695824E+01,-6.025839869835343E+00
