date,x,y,vx,vy
10-01-2023,9.832344123617546E+07,-4.633877261235323E+07,1.472908649160657E+01,3.153149278380716E+01
11-01-2023,9.955813687883563E+07,-4.359701607180113E+07,1.384996885234191E+01,3.193104922420457E+01
12-01-2023,1.007164035479713E+08,-4.082179063216747E+07,1.296000754223414E+01,3.230618521227137E+01
13-01-2023,1.017973330485721E+08,-3.801521908560023E+07,1.205986825278757E+01,3.265660586960639E+01
14-01-2023,1.028000750535012E+08,-3.517944894048839E+07,1.115022475453837E+01,3.298203397770408E+01
15-01-2023,1.037238377827477E+08,-3.231665088584749E+07,1.023175846132789E+01,3.328221020330238E+01
16-01-2023,1.045678886447487E+08,-2.942901723662455E+07,9.305157988010405E+00,3.355689331468240E+01
17-01-2023,1.053315548392155E+08,-2.651876036071332E+07,8.371118701690420E+00,3.380586038870302E+01
18-01-2023,1.060142239209130E+08,-2.358811108848986E+07,7.430342266593872E+00,3.402890700835434E+01
19-01-2023,1.066153443238430E+08,-2.063931710569677E+07,6.483536182685666E+00,3.422584745061441E+01
20-01-2023,1.071344258452995E+08,-1.767464133052331E+07,5.531413318152539E+00,3.439651486439224E+01
21-01-2023,1.075710400892694E+08,-1.469636027574748E+07,4.574691435875551E+00,3.454076143833763E+01
22-01-2023,1.079248208686654E+08,-1.170676239682498E+07,3.614092714020458E+00,3.465845855829426E+01
23-01-2023,1.081954645658886E+08,-8.708146426830001E+06,2.650343260876903E+00,3.474949695416758E+01
24-01-2023,1.083827304512297E+08,-5.702819699172186E+06,1.684172624078610E+00,3.481378683597226E+01
25-01-2023,1.084864409586302E+08,-2.693096459035043E+06,7.163132944082820E-01,3.485125801883366E+01
26-01-2023,1.085064819183438E+08,3.187038355006748E+05,-2.524997957286454E-01,3.486186003669208E+01
27-01-2023,1.084428027460410E+08,3.330258221657915E+06,-1.221529778931367E+00,3.484556224444056E+01
28-01-2023,1.082954165879290E+08,6.339241948484998E+06,-2.190038364358369E+00,3.480235390831649E+01
29-01-2023,1.080644004214663E+08,9.343330200666294E+06,-3.157286354030580E+00,3.473224428421232E+01
30-01-2023,1.077498951112706E+08,1.234019982857002E+07,-4.122534163658401E+00,3.463526268369784E+01
31-01-2023,1.073521054198418E+08,1.532753108346005E+07,-5.085042347772151E+00,3.451145852749150E+01
01-02-2023,1.068712999727336E+08,1.830300935677598E+07,-6.044072128920098E+00,3.436090138612003E+01
02-02-2023,1.063078111778384E+08,2.126432692236351E+07,-6.998885930682933E+00,3.418368100750817E+01
03-02-2023,1.056620350984620E+08,2.420918468051475E+07,-7.948747914238177E+00,3.397990733124360E+01
04-02-2023,1.049344312798976E+08,2.713529390265615E+07,-8.892924518192688E+00,3.374971048926336E+01
05-02-2023,1.041255225292270E+08,3.004037797550027E+07,-9.830685001386078E+00,3.349324079271231E+01
06-02-2023,1.032358946481062E+08,3.292217414345579E+07,-1.076130198835250E+01,3.321066870472530E+01
07-02-2023,1.022661961183206E+08,3.577843524806887E+07,-1.168405201711292E+01,3.290218479888859E+01
08-02-2023,1.012171377399223E+08,3.860693146324839E+07,-1.259821608895459E+01,3.256799970313816E+01
09-02-2023,1.000894922217933E+08,4.140545202500607E+07,-1.350308021983919E+01,3.220834402885530E+01
10-02-2023,9.888409372451122E+07,4.417180695442403E+07,-1.439793599304788E+01,3.182346828498142E+01
11-02-2023,9.760183735542473E+07,4.690382877254617E+07,-1.528208111270584E+01,3.141364277686401E+01
12-02-2023,9.624367861588503E+07,4.959937420586077E+07,-1.615481995772101E+01,3.097915748965497E+01
13-02-2023,9.481063280060990E+07,5.225632588103884E+07,-1.701546413578416E+01,3.052032195611530E+01
14-02-2023,9.330377434919870E+07,5.487259400756565E+07,-1.786333303692417E+01,3.003746510855041E+01
15-02-2023,9.172423614985430E+07,5.744611804689006E+07,-1.869775438619665E+01,2.953093511475742E+01
16-02-2023,9.007320879540730E+07,5.997486836670272E+07,-1.951806479502957E+01,2.900109919781394E+01
17-02-2023,8.835193979177929E+07,6.245684787894061E+07,-2.032361031073686E+01,2.844834343955677E+01
18-02-2023,8.656173271906576E+07,6.489009366010253E+07,-2.111374696369766E+01,2.787307256761658E+01
19-02-2023,8.470394634546162E+07,6.727267855244979E+07,-2.188784131168578E+01,2.727570972589264E+01
20-02-2023,8.277999369429907E+07,6.960271274465698E+07,-2.264527098082121E+01,2.665669622837003E+01
21-02-2023,8.079134106451251E+07,7.187834533047000E+07,-2.338542520260218E+01,2.601649129619941E+01
22-02-2023,7.873950700489299E+07,7.409776584392241E+07,-2.410770534646323E+01,2.535557177797793E+01
23-02-2023,7.662606124254355E+07,7.625920576965670E+07,-2.481152544729205E+01,2.467443185318749E+01
24-02-2023,7.445262356599554E+07,7.836094002689418E+07,-2.549631272732424E+01,2.397358271876490E+01
25-02-2023,7.222086266349755E+07,8.040128842559525E+07,-2.616150811182272E+01,2.325355225879629E+01
26-02-2023,6.993249491703883E+07,8.237861709335467E+07,-2.680656673797696E+01,2.251488469741485E+01
27-02-2023,6.758928315271807E+07,8.429133987158094E+07,-2.743095845637707E+01,2.175814023485174E+01
28-02-2023,6.519303534813192E+07,8.613791967950667E+07,-2.803416832443023E+01,2.098389466679414E+01
01-03-2023,6.274560329749484E+07,8.791686984459342E+07,-2.861569709120970E+01,2.019273898711656E+01
02-03-2023,6.024888123526810E+07,8.962675539789826E+07,-2.917506167297115E+01,1.938527897409919E+01
03-03-2023,5.770480441912629E+07,9.126619433298160E+07,-2.971179561878911E+01,1.856213476029345E+01
04-03-2023,5.511534767314270E+07,9.283385882695127E+07,-3.022544956566953E+01,1.772394038620767E+01
05-03-2023,5.248252389213096E+07,9.432847642225330E+07,-3.071559168249818E+01,1.687134333801461E+01
06-03-2023,4.980838250813450E+07,9.574883116783841E+07,-3.118180810218804E+01,1.600500406951147E+01
07-03-2023,4.709500792011118E+07,9.709376471835484E+07,-3.162370334139309E+01,1.512559550859204E+01
08-03-2023,4.434451788791446E+07,9.836217739004174E+07,-3.204090070715938E+01,1.423380254851978E+01
09-03-2023,4.155906189172675E+07,9.955302917202309E+07,-3.243304268988811E+01,1.333032152431957E+01
10-03-2023,3.874081945815435E+07,1.006653406917314E+08,-3.279979134198930E+01,1.241585967463531E+01
11-03-2023,3.589199845424730E+07,1.016981941332217E+08,-3.314082864160830E+01,1.149113458942944E+01
12-03-2023,3.301483335076005E+07,1.026507341071692E+08,-3.345585684081145E+01,1.055687364393032E+01
13-03-2023,3.011158345602240E+07,1.035221684713822E+08,-3.374459879762036E+01,9.613813419262204E+00
14-03-2023,2.718453112183940E+07,1.043117691006984E+08,-3.400679829139236E+01,8.662699110238295E+00
15-03-2023,2.423597992288397E+07,1.050188726051765E+08,-3.424222032084537E+01,7.704283920775924E+00
16-03-2023,2.126825281111311E+07,1.056428809955398E+08,-3.445065138423264E+01,6.739328447529621E+00
17-03-2023,1.828369024675969E+07,1.061832622948707E+08,-3.463189974120338E+01,5.768600052194431E+00
18-03-2023,1.528464830751797E+07,1.066395510956085E+08,-3.478579565567859E+01,4.792872223167582E+00
19-03-2023,1.227349677757810E+07,1.070113490609552E+08,-3.491219161934768E+01,3.812923927118208E+00
20-03-2023,9.252617218205703E+06,1.072983253698433E+08,-3.501096255528912E+01,2.829538951114455E+00
21-03-2023,6.224401021603918E+06,1.075002171046800E+08,-3.508200600125686E+01,1.843505235976449E+00
22-03-2023,3.191247449833213E+06,1.076168295811385E+08,-3.512524227221116E+01,8.556142015416385E-01
