69	[109, 144, 529, 687, 722, 598, 441, 151, 834, 5, 15, 325, 367, 418, 498, 531, 912, 51, 119, 78, 779, 572, 264]
70	[102, 110, 953, 851, 861, 725, 529, 738, 541, 762, 945, 12, 737, 36, 944, 72, 496, 363, 109, 483, 144, 90, 979, 774, 317, 764]
71	[52, 264, 367, 495, 300, 599, 613, 834, 883, 6, 796, 54, 874, 987, 901]
72	[102, 110, 953, 851, 861, 363, 496, 258, 945, 12, 737, 36, 686, 944, 70, 529, 541, 762, 109, 483, 144, 90, 51, 317]
73	[262, 318, 55, 159, 284, 190, 712, 298, 398, 565, 42, 178, 214, 449, 241, 585, 791, 765, 128, 869, 771, 803, 877, 198, 967, 145, 568, 204, 365]
74	[445, 619, 626, 648, 689, 395, 132, 292, 850, 806, 330, 35, 594, 475, 570, 659, 197, 838, 24]
75	[336, 292, 282, 285, 24, 197, 909, 395, 248, 990, 16, 156, 192, 475, 850, 46, 7, 335, 800]
76	[467, 50, 312, 394, 539, 683, 516, 1, 210, 628, 710, 79]
77	[847, 240, 133, 653, 32, 340, 456, 276, 520, 48, 521, 555, 604, 123, 614, 929, 913, 724, 930, 437]
78	[144, 541, 186, 953, 779, 51, 119, 973, 325, 441, 572, 687, 721, 69, 309, 308, 722, 151, 834, 320, 598]
79	[638, 415, 581, 68, 671, 705, 482, 602, 802, 642, 540, 975, 950, 886, 210, 76, 312, 525, 394, 31, 539, 747, 107, 628, 383]
80	[375, 525, 802, 830, 31, 736, 43, 988, 468, 587, 280, 150, 494, 961, 691, 283, 925, 359, 377, 448, 501, 216, 386]
81	[296, 314, 488, 535, 650, 919, 804, 906, 889, 503, 902, 528, 368, 417, 942, 163, 893, 729, 453, 730, 882, 878]
82	[224, 122, 620, 700, 865, 3, 251, 329, 16, 156, 909, 672, 714, 745, 248, 990, 282, 387]
83	[499, 715, 378, 305, 982, 29, 136, 329, 92, 104, 166, 576, 921, 819, 89, 93, 965, 53, 3, 181]
84	[94, 733, 858, 821, 171, 278, 854, 655, 731, 886, 431, 306, 590, 747, 705, 155, 540, 415, 506, 581, 68, 671, 950, 168, 676, 383, 583, 107]
85	[303, 321, 979, 353, 565, 712, 877, 213, 967, 771, 97, 812, 102, 861, 945, 805, 365]
86	[624, 43, 988, 14, 386, 280, 693, 925, 375, 828, 216, 510, 736, 22, 209, 961, 897, 385, 600, 469, 67, 359, 448, 795, 501]
87	[524, 899, 769, 518, 502, 551, 845, 875, 302, 773, 450, 670, 271, 589, 470, 656, 669, 720, 217]
88	[253, 205, 328, 338, 706, 582, 466, 959, 245, 837, 134, 10, 249, 876, 404, 381, 809, 256, 904, 938, 954]
89	[499, 29, 104, 576, 236, 819, 93, 101, 965, 53, 136, 305, 378, 96, 329, 83, 425, 181, 921]
90	[851, 110, 861, 945, 953, 12, 36, 833, 999, 483, 686, 70, 541, 186, 762, 72, 349, 109, 317, 152, 442, 363, 825, 258, 399, 496]
91	[784, 634, 816, 59, 103, 927, 422, 169, 584, 397, 607, 665, 266, 200, 559, 343, 992, 182, 935, 631]
92	[463, 143, 351, 522, 281, 908, 761, 385, 965, 166, 600, 550, 83, 848, 728, 819, 536, 29, 693, 862, 104, 576, 364, 196, 499, 715, 14]
93	[965, 29, 104, 196, 461, 576, 236, 820, 635, 478, 819, 53, 713, 305, 831, 378, 238, 921, 83, 425, 181, 89, 536, 101]
94	[84, 858, 155, 63, 171, 854, 306, 590, 168, 222, 278, 583, 676, 506, 115, 821, 655, 731, 431]
95	[44, 407, 658, 418, 531, 711, 414, 822, 172, 523, 984, 52, 15, 264, 367, 495, 5, 498]
96	[305, 53, 89, 236, 635, 378, 238, 101, 535, 955, 314, 425, 488, 548, 563]
97	[303, 321, 152, 353, 349, 408, 712, 999, 85, 102, 110, 851, 861, 462, 945, 993, 805, 686]
98	[27, 217, 410, 808, 99, 829, 567, 773, 116, 56, 547, 968, 998, 342, 727, 352, 427, 637, 735, 823, 748, 788]
99	[748, 98, 342, 727, 9, 505, 323, 994, 18, 65, 116, 547, 968, 741, 361, 374, 436, 426]
100	[417, 368, 889, 453, 867, 882, 919, 942, 163, 646, 618, 660, 30, 760, 842]
101	[93, 89, 955, 535, 684, 236, 635, 378, 96, 314, 425, 488, 548, 563, 906, 238]
102	[737, 303, 85, 979, 97, 861, 725, 812, 490, 766, 72, 496, 945, 738, 762, 764, 774, 36, 944, 213, 109, 675, 805, 483, 70]
103	[709, 634, 784, 816, 949, 935, 333, 905, 926, 59, 277, 992, 422, 91, 584, 607, 665]
104	[553, 143, 351, 862, 576, 921, 364, 181, 196, 281, 908, 499, 715, 982, 550, 83, 29, 819, 93, 536, 89, 92, 848, 136, 166, 965, 305]
105	[189, 215, 346, 358, 373, 870, 907, 924, 664, 605, 165, 235, 860, 275, 704, 331, 433, 890]
106	[781, 176, 923, 304, 194, 311, 440, 794, 863, 544, 443, 971, 419, 334, 357, 556, 350, 4, 758, 126, 430, 255, 775]
107	[676, 155, 642, 540, 415, 628, 583, 506, 581, 68, 854, 986, 525, 278, 638, 671, 705, 975, 747, 950, 886, 79, 602, 482, 383, 84]
108	[445, 356, 397, 927, 570, 806, 989, 928, 24, 475, 324, 140]
109	[12, 102, 90, 51, 774, 851, 737, 541, 762, 738, 36, 944, 70, 72, 144, 317, 764, 363, 725, 529, 483, 69, 953, 779, 572, 496]
110	[851, 303, 12, 317, 97, 861, 363, 945, 147, 70, 462, 152, 349, 496, 72, 258, 442, 90, 686, 999]
111	[853, 228, 835, 852, 25, 287, 400, 164, 286, 517, 348, 716, 703, 118, 451, 447, 497, 972, 807, 723]
112	[573, 288, 509, 719, 64, 184, 301, 390, 660]
113	[891, 38, 142, 49, 732, 289, 345, 616, 963, 767, 682, 849, 140, 344, 895, 34, 269, 580, 644, 141, 772, 307, 699, 324, 406, 579, 586]
114	[369, 246, 391, 472, 138, 491, 964, 757, 574, 879, 753, 976, 195, 233, 799, 37, 28, 252, 372]
115	[226, 403, 167, 272, 310, 701, 818, 857, 914, 590, 63, 94, 575, 171]
116	[748, 98, 342, 727, 9, 505, 323, 994, 18, 65, 99, 361, 374, 436, 547, 741, 426]
117	[864, 446, 458, 532, 137, 185, 476, 485, 500, 937, 855, 632, 489, 161, 243, 202, 239]
118	[179, 852, 703, 972, 111, 451, 447, 497, 807, 534, 286, 164, 723, 905, 400, 517, 287]
119	[78, 325, 441, 151, 834, 598, 572, 687, 721, 722, 779, 973, 613, 883, 264, 367, 308, 418, 495, 69, 5, 498]
120	[852, 789, 257, 41, 493, 703, 920, 139, 400, 507, 517, 287, 610, 622, 835, 782, 164, 798, 807, 972, 497]
121	[265, 484, 557, 788, 279, 217, 271, 293, 547, 410, 374, 518, 652, 567, 773, 998]
122	[224, 292, 2, 620, 3, 700, 329, 746, 990, 82, 865, 16, 156, 909, 672, 282, 745]
123	[456, 191, 423, 32, 514, 826, 77, 340, 813, 537, 154, 555, 569, 614, 23, 45, 896, 183, 48, 913, 930, 881, 724]
124	[44, 527, 750, 366, 859, 887, 658, 263, 711, 414, 606, 915, 15, 702, 327, 407, 409]
125	[148, 391, 491, 60, 218, 879, 623, 37, 697, 754, 884, 138, 464, 757, 47, 322, 668, 160, 513, 815]
126	[781, 176, 923, 304, 194, 311, 794, 863, 971, 556, 4, 106, 357, 430, 255, 775, 443]
127	[709, 507, 257, 388, 997, 439, 603, 751, 962, 174, 515, 663, 798, 866, 352]
128	[45, 231, 270, 354, 457, 826, 967, 877, 643, 241, 178, 214, 449, 568, 183, 365, 145, 869, 73, 881, 868, 813, 771, 569]
129	[420, 332, 504, 571, 205, 10, 328, 338, 212, 837, 222, 740, 876, 763, 894]
130	[704, 20, 165, 235, 237, 860, 875, 433, 664, 275, 162, 551, 201, 331, 845, 890, 421, 899, 502, 524]
131	[957, 308, 705, 613, 412, 474, 312, 394, 628, 415, 581, 638]
132	[974, 681, 330, 389, 2, 35, 940, 405, 224, 948, 659, 917, 619, 626, 648, 838, 341, 689, 74, 508, 594, 292, 620]
133	[395, 24, 336, 520, 240, 778, 192, 928, 46, 653, 930, 847, 7, 77, 276]
134	[254, 420, 504, 932, 839, 11, 617, 459, 922, 668, 837, 206, 424, 690, 582, 801, 338, 381, 88, 328, 938, 904, 205]
135	[986, 731, 19, 245, 959, 249, 471, 552, 695, 876, 996, 26, 954, 809, 253, 268, 966, 466]
136	[553, 294, 313, 666, 1000, 921, 576, 104, 53, 305, 965, 364, 3, 181, 83, 865, 499, 29, 89, 715, 786, 982, 700, 329, 746]
137	[355, 446, 593, 811, 117, 639, 185, 476, 485, 937, 489, 532, 864, 827, 243, 609, 177, 208]
138	[964, 148, 884, 322, 391, 491, 392, 160, 513, 757, 114, 252, 42, 178, 60, 125, 47, 754, 218, 879, 697, 37]
139	[507, 789, 120, 400, 517, 603, 880, 610, 622, 782, 798, 835, 751, 920, 257, 972]
140	[749, 560, 356, 927, 345, 113, 772, 141, 307, 324, 586, 682, 108]
141	[749, 113, 140, 307, 579, 324, 586, 682, 34, 49, 963, 772, 344, 895, 849, 240]
142	[194, 158, 443, 995, 767, 113, 242, 644, 608, 244, 289, 345, 699, 334, 543, 560, 153, 580, 350, 873, 636, 38, 790, 479, 885, 616, 891, 749, 586]
143	[645, 505, 104, 166, 862, 351, 522, 281, 908, 577, 649, 761, 364, 499, 553, 463, 728, 985, 848, 776, 92]
144	[12, 36, 944, 912, 70, 738, 529, 72, 109, 317, 764, 774, 953, 779, 78, 572, 51, 363, 483, 69, 496, 687, 722, 541, 737, 441, 762]
145	[183, 45, 73, 585, 877, 967, 241, 565, 231, 449, 270, 354, 568, 214, 457, 569, 128, 365, 869, 771, 881, 868, 643, 813]
146	[452, 554, 792, 179, 534, 176, 379, 781, 384, 951]
147	[110, 462, 899, 152, 349, 442, 686, 999, 670, 833, 524]
148	[332, 247, 465, 260, 504, 839, 160, 513, 11, 697, 60, 254, 125, 322, 218, 815, 617, 884, 810, 138, 668, 47, 207, 464, 690, 801, 623]
149	[665, 66, 315, 948, 941, 59, 277, 200, 974, 333, 681, 559, 940, 969, 689, 481, 744]
150	[602, 19, 966, 802, 26, 830, 986, 562, 80, 283, 377, 542, 695, 386, 578, 468, 587, 494, 691]
151	[78, 119, 613, 883, 973, 325, 441, 572, 264, 687, 721, 5, 495, 69, 722, 779, 308, 367, 599, 598, 834]
152	[97, 303, 353, 349, 408, 110, 442, 90, 851, 861, 945, 462, 147, 899, 999, 993, 686]
153	[777, 775, 430, 443, 255, 630, 158, 350, 402, 995, 434, 644, 608, 580, 334, 454, 627, 142, 767, 316, 636, 846, 194, 289, 345, 244, 543, 290, 479, 790, 885, 38, 891, 873]
